"Stimulated, 24h vs. Non-stimulated","Stimulated, 48h vs. Non-stimulated","Stimulated, 48h + LV vs. Non-stimulated","Stimulated, 72h + LV vs. Non-stimulated","Stimulated, 48h vs. Stimulated, 24h","Stimulated, 48h + LV vs. Stimulated, 48h","Stimulated, 72h + LV vs. Stimulated, 48h + LV",names
1.70568E-23,4.99237E-15,6.37518E-15,0.084423198,0.074063073,1,7.92672E-09,PEX10
6.82624E-42,1.51806E-57,2.68073E-44,2.57588E-11,0.005910165,0.311124764,1.94238E-12,PLCH2
0.322988791,0.194759763,0.826161895,0.002289831,0.042985605,0.74693929,0.010601578,PANK4
0.002099032,1.17757E-21,3.93665E-20,1.26639E-15,3.1382E-09,0.985133568,0.370332544,TNFRSF14
1.87586E-17,2.60806E-13,3.14452E-11,0.021217197,0.393710196,0.945194599,8.89267E-05,PRXL2B
0.074717241,0.000301474,0.039304075,0.271046161,0.092082959,0.659130759,0.451653529,MMEL1
0.0001695,4.62183E-11,1.63252E-13,6.30478E-13,0.011543791,0.902655602,0.827384433,TTC34
0.317541536,0.685590851,0.429030121,0.932747306,0.670703709,1,0.562618086,ARHGEF16
8.47579E-98,2.74338E-88,1.60746E-84,6.69368E-49,0.363345657,0.967886944,2.7618E-06,MEGF6
1.03572E-13,5.47374E-40,9.56958E-39,3.37647E-63,1.38295E-07,0.993011469,0.000640395,TPRG1L
2.0047E-09,1.06505E-06,1.36598E-09,1.94782E-09,0.426548891,0.878160555,0.979949313,WRAP73
0.256166834,1.96516E-05,2.14499E-05,6.35452E-08,0.002564826,1,0.262191986,TP73
1.15091E-16,2.30703E-25,5.11793E-29,1.47803E-31,0.094093506,0.934867216,0.726933912,TP73.AS1
0.535454591,0.569016065,0.998448185,0.215720837,1,1,1,CCDC27
0.344754487,0.018229763,0.08131599,0.536879546,0.273499582,0.95113108,0.358384377,SMIM1
1.67895E-10,4.22393E-06,9.8849E-05,0.045947103,0.169590329,0.94242972,1.19455E-08,LRRC47
0.917507775,0.04770164,0.095895318,4.34803E-05,0.123655283,0.986372029,0.035972293,CEP104
0.186395059,0.075011728,0.044333379,0.00765428,0.780895117,0.99234196,5.98544E-06,DFFB
1.61948E-11,6.20666E-06,6.5163E-07,0.519996801,0.075929142,0.978385316,6.49758E-05,C1orf174
0.222417539,0.041280598,0.063039067,0.034224955,0.458160715,1,0.807496453,LINC01134
4.90201E-05,0.000251614,3.60158E-05,0.014815858,0.710450914,0.937140387,0.093831594,AJAP1
0.009289609,0.846451544,0.490602763,0.319200411,0.013567458,0.967258466,0.82818261,NPHP4
8.16008E-08,5.43186E-11,2.99447E-10,5.21203E-13,0.4075104,0.990239087,0.487638203,KCNAB2
0.000995365,0.005605048,0.128690104,0.063866632,0.701797228,0.827660742,0.801348371,CHD5
5.15475E-40,2.61625E-60,2.47956E-69,4.10112E-49,0.009763046,0.872341985,0.014636842,RPL22
0.885148654,0.455924689,0.867042206,0.134290462,0.674895466,0.955223758,0.257623744,RNF207
2.2511E-128,4.0066E-193,1.7267E-187,2.436E-111,1.75449E-08,0.974631763,2.11859E-12,ICMT
0.894544256,0.921387371,0.640098036,0.537344087,0.983506207,0.981538275,0.913512674,GPR153
1.8307E-148,7.7708E-197,5.9146E-209,1.0507E-168,2.31108E-05,0.894570356,0.000654975,ACOT7
0.003902017,0.232706565,0.001551627,3.09344E-06,0.148858892,0.564770708,0.116596328,HES2
0.102787168,0.001308096,0.004005534,0.072569505,0.216867569,0.98615756,0.390902589,ESPN
0.346380549,0.000112008,1.03826E-06,1.62629E-11,0.014796672,0.906126563,0.127185652,TNFRSF25
1.59702E-16,2.34257E-10,3.59675E-17,0.000101423,0.130616426,0.577855764,3.41185E-05,PLEKHG5
4.06244E-12,1.41799E-06,1.10932E-08,1.72091E-37,0.097950999,0.920840376,4.51627E-11,NOL9
0.005168492,2.83205E-06,1.47065E-09,2.83059E-09,0.147710733,0.83263157,0.952814161,ZBTB48
0.004316219,0.001729829,0.124255002,0.041094962,0.881866814,0.762924789,0.000679805,KLHL21
2.30419E-07,2.01917E-36,7.53857E-16,1.49057E-19,1.18493E-12,0.004541297,0.444777601,PHF13
0.089731477,0.034441484,0.553621235,0.035409583,0.803428052,0.767659541,0.010949386,THAP3
1.81022E-24,1.19397E-19,1.09126E-18,0.03139539,0.416015224,0.991890536,4.80413E-10,DNAJC11
0.408144702,0.239347781,0.792384772,0.508273996,0.835487105,0.908634961,0.763306123,CAMTA1
4.99867E-60,4.46091E-82,2.94134E-84,3.47742E-88,0.011930859,0.989959744,0.77628964,VAMP3
0.052801395,0.015365208,0.212520499,3.28173E-05,0.770198124,0.872584798,0.010034437,PER3
2.70177E-18,4.53131E-11,1.72983E-12,7.67457E-12,0.007606909,0.943854121,0.851346646,UTS2
2.92044E-55,3.46968E-44,4.40547E-47,1.10678E-44,0.105911098,0.966864606,0.773130704,TNFRSF9
1.49781E-55,9.79688E-46,2.57936E-53,5.29334E-36,0.258066473,0.882145711,0.015090798,PARK7
0.62982851,1.26629E-05,0.003279715,0.116949529,0.000557481,0.806023074,0.26790682,ERRFI1
0.087522216,0.003654884,5.51325E-05,0.0338487,0.35820115,0.846281555,0.072963973,SLC45A1
0.000247568,3.93029E-09,1.4835E-09,0.000108555,0.082219185,0.993892298,0.072183546,RERE
2.45213E-94,1.3618E-83,2.52085E-82,1.06398E-79,0.370771404,0.993892298,0.847702644,ENO1
0.140542144,0.00846541,0.003251074,0.000983645,0.357517623,0.982342928,0.731091357,ENO1.AS1
7.88076E-07,1.71064E-11,2.0033E-10,0.000385333,0.169590329,0.983845557,0.015255843,CA6
0.005972482,6.18484E-07,0.000114797,0.279755029,0.059100538,0.864794758,0.014211808,SLC2A7
0.00155716,0.556180435,0.052288484,0.782069168,0.028666002,0.823217099,0.041806357,GPR157
0.061452931,0.010389787,0.006987014,0.269622716,0.660560952,0.993892298,0.195805028,H6PD
0.103497558,0.002268358,0.580600621,0.005383567,0.28494639,0.379401644,0.048899335,SPSB1
0.007894024,0.009947605,0.063334018,0.000597058,0.960724686,0.939545838,3.54494E-07,SLC25A33
4.05862E-05,6.18848E-22,6.48377E-16,0.020738162,5.93214E-07,0.777712747,1.06011E-07,TMEM201
1.14316E-31,3.43844E-23,9.25448E-20,5.66298E-27,0.172220289,0.925851582,0.179344271,PIK3CD
0.155280716,0.186760592,0.36650464,0.713173618,0.949622834,0.978657702,0.250874969,PIK3CD.AS1
0.209710428,0.326088129,0.551995247,0.597681232,0.862664996,0.981538275,0.310920981,PIK3CD.AS2
2.26886E-34,5.95073E-29,1.28397E-30,2.766E-27,0.460677834,0.986372029,0.640497088,CLSTN1
0.000105985,0.443256443,0.662850027,2.03293E-05,0.007560153,0.986276726,7.60522E-06,CTNNBIP1
5.68815E-15,0.000211018,1.41815E-09,0.059458666,0.000255871,0.470940268,0.000122319,LZIC
2.88746E-11,1.02361E-24,2.4187E-36,2.79481E-28,0.000658305,0.38140313,0.156771052,NMNAT1
0.62615392,0.217548601,0.082357295,0.930590389,0.608154327,0.972417233,0.104624873,UBE4B
1.71845E-08,2.12453E-21,2.38336E-16,1.20219E-30,0.000791023,0.841137939,0.002990557,KIF1B
1.83259E-33,5.68806E-57,6.37575E-58,3.19813E-43,0.000937712,0.993892298,0.058900925,PGD
4.86616E-09,1.41825E-17,9.18033E-15,7.37512E-10,0.000557181,0.872341985,0.045942084,CENPS
0.965210687,0.689469694,0.363461489,0.241662316,1,1,1,CORT
2.49149E-19,1.56003E-32,2.34582E-36,6.70341E-23,0.01668797,0.941166341,0.018092069,DFFA
0.449202564,0.063060003,0.124255002,0.039553213,0.427749509,0.986372029,0.000581224,PEX14
0.196461109,7.28325E-16,3.13632E-15,9.09696E-06,3.03034E-10,0.993892298,0.002139897,CASZ1
4.09106E-10,4.0168E-11,2.37004E-09,0.407828074,0.842588584,0.956038704,6.99552E-11,TARDBP
8.01215E-14,1.88703E-22,1.40641E-29,7.06042E-36,0.050086345,0.678342656,0.180798921,MASP2
2.2536E-136,1.2683E-115,2.831E-117,9.12831E-43,0.109251972,0.993892298,8.66326E-19,SRM
1.81152E-12,1.28493E-12,3.98057E-07,4.21881E-05,0.98535881,0.614967678,0.473261455,EXOSC10
0.78033673,0.231719403,0.035532109,0.003452634,0.507451942,0.913642824,1.38053E-06,MTOR
3.96983E-16,8.78729E-18,9.73671E-12,0.882271049,0.790604489,0.694322925,2.81072E-11,UBIAD1
0.003175605,0.083817045,0.046097153,0.02153538,0.35853284,0.988403577,0.835723229,DISP3
0.000369107,5.67251E-05,2.97355E-05,0.226905218,0.771356339,0.993892298,0.008328031,FBXO2
4.49986E-18,1.27623E-32,3.00429E-24,8.80997E-07,0.005584157,0.697734393,1.52505E-06,FBXO44
3.25272E-13,1.37062E-08,9.29713E-09,1.33291E-06,0.217381134,1,0.502959378,FBXO6
0.027002989,4.98903E-09,1.6208E-07,3.04601E-11,0.001927999,0.959245953,0.261856928,MAD2L2
0.209710428,0.49565335,0.022806326,9.92168E-10,0.664412685,0.677676317,1.19737E-05,DRAXIN
6.07244E-09,7.02591E-05,0.010363752,0.006899562,0.153110985,0.818312079,0.924576314,AGTRAP
0.001855116,6.52174E-11,3.37283E-10,3.17828E-16,0.004029861,0.991389739,0.117767658,MTHFR
