names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
ZNF583,2.203599372,0.935552553,1.081674004,0.029008449,-1.106547153,0.017094278,-0.858187806
ZNF584,1.825113658,2.164193002,1.861472805,1.071903415,0.249894705,-0.073031773,-0.706554498
ZNF585A,0.58575387,0.100530908,0.049240673,1.012913382,-0.409178882,-0.015068695,0.91263124
ZNF585B,-0.058803535,-0.238358244,-0.362430992,0.350178123,-0.14502545,-0.040161391,0.673118848
ZNF586,-1.80287965,-2.278477642,-2.451016661,-1.842450635,-0.420034379,-0.067387977,0.575263669
ZNF587,-0.9503471,-0.840796407,-1.093091244,-0.863268499,0.099851107,-0.14440106,0.220306072
ZNF587B,0.316095686,-0.181417407,-0.489231986,-1.518694624,-0.420919716,-0.09610962,-0.970217381
ZNF589,-0.004243439,-0.159910466,-0.184171307,-0.483154301,-0.098620867,-0.003732424,-0.248422238
ZNF592,-0.712927895,-0.374964018,-0.607906843,-0.548314926,0.287306349,-0.086680369,0.051100556
ZNF593,3.238459289,3.022501867,2.845439431,1.564150758,-0.177799075,-0.059475039,-1.218766897
ZNF594,2.200668953,2.801430885,2.982271603,1.824018116,0.447469416,0.035858422,-1.023870391
ZNF594.DT,-2.356605515,-1.687357487,-2.731271872,-2.162602278,0.203470705,0,0.173900286
ZNF595,-0.255481671,-0.644689187,-0.658382858,-0.179073428,-0.250957293,-0.001947942,0.389728125
ZNF596,0.154864614,-0.836808163,-0.772872401,-1.352985037,-0.7928473,0.007570994,-0.461283092
ZNF597,-0.996104648,-1.124003395,-1.44862435,-1.473117793,-0.096899213,-0.090283793,-0.025275605
ZNF598,0.859402938,1.062774581,0.853144264,0.851576505,0.16873299,-0.077553752,0.000973272
ZNF599,-1.123753444,-0.766571111,-0.869650996,-1.180149873,0.242355651,-0.01723171,-0.262362623
ZNF600,-0.600234381,-1.194837722,-0.764425554,-0.375196183,-0.470293711,0.100075026,0.33823615
ZNF605,-0.165369438,-0.596910847,-0.358593195,-0.43529888,-0.333477877,0.057726069,-0.068926263
ZNF606,-0.887196832,-1.278979909,-1.35110254,-1.346420425,-0.249992368,-0.009977907,-0.004923151
ZNF607,1.832516649,1.741757724,1.600862118,1.834816346,-0.072896683,-0.038906751,0.214531812
ZNF609,-1.508351347,-1.602847261,-1.49640919,-0.965274574,-0.084848322,0.057150895,0.515176486
ZNF610,-1.457916536,-1.180062841,0.024241855,0.757300611,0.120647479,0.114380307,0.538385855
ZNF611,-0.682062807,-0.700920692,-0.521520219,-1.031934762,-0.014048833,0.054169848,-0.474363362
ZNF613,2.547567628,1.995539262,2.112026756,2.184759454,-0.436853233,0.023905668,0.070572344
ZNF614,0.571379588,0.06323235,0.205533449,-0.224700897,-0.437687087,0.046226042,-0.40123474
ZNF615,-0.845318479,-1.388559919,-1.371815761,-0.205551827,-0.441032092,0.004124725,1.089715419
ZNF616,2.139555926,2.14626111,2.230735442,2.5134425,0.00102773,0.024212738,0.258940336
ZNF618,-2.672363667,-1.633638783,-1.898513143,-2.74952184,0.704800868,-0.022968664,-0.603508769
ZNF619,1.001888334,0.592460105,0.669720049,1.169023191,-0.319158404,0.018345269,0.455032015
ZNF620,1.655837299,1.988779183,2.360221457,1.753177764,0.212585441,0.062061225,-0.495166677
ZNF621,0.523705849,0.778944363,0.878091951,1.133427755,0.23227276,0.052655385,0.247990435
ZNF622,-0.605872421,-0.808667061,-1.077398034,-1.163960613,-0.167308715,-0.098656551,-0.079957716
ZNF623,0.536675304,0.615278066,0.369497877,0.409115325,0.069121292,-0.123033653,0.036915482
ZNF624,-0.227681084,-0.837270484,-1.045272614,-0.516957672,-0.432305517,-0.030851637,0.429516736
ZNF625,2.077173409,2.772520436,3.304069287,3.218268367,0.275165202,0,-0.054502822
ZNF626,0.534284504,0.537122495,0.6447992,0.849971605,0.001235444,0.033374597,0.188472028
ZNF627,-1.130160025,-1.741918953,-1.81799037,-1.242934494,-0.53187007,-0.022193313,0.529674552
ZNF628,-1.3790789,-1.761112434,-1.96013317,-2.011051247,-0.283589635,-0.044226769,-0.048425978
ZNF629,1.547447131,0.854288339,0.022731746,-0.141780831,-0.583037109,-0.432891433,-0.141926689
ZNF630,-0.754882904,-0.832884852,-0.49726681,-0.061715314,-0.03972441,0.036486924,0.333479765
ZNF638,-0.445166394,-0.567600771,-0.467675254,-0.53820924,-0.104172211,0.041516682,-0.065206083
ZNF639,-1.960679869,-2.081911828,-2.496094216,-2.498600154,-0.094693833,-0.149752851,-0.004784864
ZNF641,-1.387567557,-1.604085422,-1.779795454,-1.544892672,-0.174309517,-0.056860001,0.209480208
ZNF644,-0.855745622,-0.738690136,-0.867308872,-0.465326753,0.09906769,-0.04996609,0.378341218
ZNF646,1.024207355,0.702495672,0.670475179,1.016246321,-0.269404184,-0.010840514,0.324136563
ZNF649,0.384779062,-0.694373155,-0.450944735,-0.429165201,-1.015207957,0.059383333,0.015559441
ZNF649.AS1,-0.462364142,-0.801085903,-1.158430779,-1.024051834,0,0,0
ZNF652,-3.097144232,-3.62554367,-3.574670122,-2.785781816,-0.423988139,0.012904392,0.717646219
ZNF653,0.877653187,0.563203304,0.372598336,0.371626193,-0.225826682,-0.037945543,0.002975713
ZNF654,-0.895490268,-0.885786516,-0.800550957,0.591728113,0.008450274,0.027925036,1.348322144
ZNF655,-0.794616052,-1.109650732,-1.323146609,-1.126874889,-0.27750014,-0.095321095,0.181258188
ZNF658,0.823111296,0.298636026,0.276107599,-0.351862894,-0.374860735,-0.003606822,-0.532258494
ZNF660,0.673931431,0.875043528,1.45081823,1.183939369,0.075397041,0.030938479,-0.131993713
ZNF662,-0.423078365,-1.670805554,-1.74051877,-1.707900836,-0.91607112,-0.005023373,0.005184524
ZNF664,1.041250712,1.171037962,1.134051447,0.501926063,0.116511214,-0.019125041,-0.613175815
ZNF665,0.275743419,0.150207156,0.708651751,0.954776792,-0.07329513,0.071865918,0.199962237
ZNF667,0.66500633,-0.748418372,-0.296645717,1.36473096,-1.263715624,0.051853609,1.51160803
ZNF667.AS1,0.591174118,0.128864576,0.273544023,-0.03526731,-0.248659263,0.011988811,-0.214526297
ZNF668,0.732914292,1.262900615,0.993105126,0.757041921,0.473164524,-0.10996022,-0.216863927
ZNF669,-0.721261976,-1.142487169,-1.122830818,-1.587312206,-0.330284498,0.004902445,-0.420935954
ZNF670,3.91553749,4.059475162,3.877690142,3.809370069,0.093035739,-0.036279399,-0.067756143
ZNF671,-0.608621,-1.353170964,-1.685350183,-1.128352269,-0.608835891,-0.065802876,0.476405388
ZNF672,1.130349781,1.632211242,1.737102972,1.678045056,0.441016681,0.038987919,-0.049542806
ZNF674,-1.527741729,-1.131458751,-1.310543183,-0.482859056,0.272409242,-0.030317756,0.720182666
ZNF675,-0.748723042,-0.873799807,-0.94440919,-0.252873363,-0.101177142,-0.023612769,0.650475543
ZNF677,-0.614237723,-1.233493296,-1.06321022,-0.718487085,-0.384513899,0.017890649,0.25016687
ZNF678,0.536301579,0.2633948,0.581339071,0.762958607,-0.20696092,0.080833531,0.162296631
ZNF680,0.266150962,0.124491374,-0.083941612,0.238049819,-0.105261266,-0.048353578,0.284919318
ZNF681,0.161264389,0.053457082,0.021971575,-0.120325094,-0.087314608,-0.009743054,-0.127900428
ZNF682,0.800479406,0.403090232,-0.000190836,0.07583498,-0.317413788,-0.113259547,0.066518591
ZNF683,-2.928486654,-3.234429207,-2.535278191,-2.731311559,-0.061842583,0.016555235,-0.084725301
ZNF684,0.584030253,0.896989067,0.363264292,0.91960176,0.204642918,-0.095179946,0.475437601
ZNF687,-0.987484712,-1.195332219,-1.305385627,-0.891137634,-0.178660705,-0.045550995,0.392204237
ZNF688,-0.5794499,-0.780087722,-0.858575392,-1.264915601,-0.130090267,-0.013046607,-0.345114284
ZNF689,-0.719265345,-0.381735164,-0.724547654,-1.015549029,0.275946388,-0.113352593,-0.268045261
ZNF69,-0.827186301,-1.583637065,-0.919500437,-1.077224931,-0.523069668,0.090995901,-0.129636432
ZNF691,2.093511858,2.374955319,2.423626262,2.203707711,0.218100746,0.014176708,-0.189511624
ZNF692,-0.127062095,0.068997488,0.256194523,0.709376754,0.157108695,0.057816249,0.421942783
ZNF695,0.062743346,1.137616137,0.827674308,2.082856873,0.452505315,0,0.753852147
ZNF696,3.956871687,3.212819137,3.152729059,1.66804083,-0.674944738,-0.01977462,-1.418219617
ZNF697,3.861752149,5.117392149,4.898759626,3.135211752,0.54783363,-0.011449659,-1.074904924
ZNF699,-2.107666813,-2.370686065,-2.545896071,-1.438743671,-0.189955947,-0.039157939,1.013036581
ZNF7,0.337321809,-0.035935017,-0.276243615,-0.170705307,-0.319453557,-0.087350973,0.093297543
ZNF70,0.578643947,0.39512867,0.291304784,-0.077101578,-0.11446297,-0.01417048,-0.293464057
ZNF700,-0.322154018,-0.336756602,-0.327074536,0.549328952,-0.01029763,0.00324957,0.834600284
ZNF701,0.274780906,-0.062068432,-0.027111223,0.377205795,-0.251603622,0.00756509,0.359266927
ZNF702P,0.587658995,-0.619391724,0.926372786,1.382024443,-0.926574285,0.736770911,0.355203459
ZNF703,-1.58242022,-2.808712723,-2.772884129,-2.203447279,-0.494976217,0.001108935,0.23711842
ZNF704,5.105803237,4.317756447,4.309512567,3.409417614,-0.48833835,-0.000866033,-0.669300629
ZNF705E,-2.155321604,-2.263598158,-2.047085254,-2.561174185,-0.029748241,0.009841451,-0.28580702
ZNF706,1.222398492,0.983740471,0.997540085,0.516425274,-0.215767044,0.006859074,-0.464312717
ZNF707,0.920883708,0.650079484,0.333350536,0.060222963,-0.224271929,-0.111370246,-0.249440926
ZNF708,-0.924691775,-1.420899774,-1.609423367,-1.756107789,-0.41152154,-0.054042146,-0.133066742
ZNF709,-1.080068776,-1.27369431,-1.498147111,-0.592810143,-0.134529733,-0.044327236,0.809251526
ZNF71,0.479344658,0.359502281,0.186980299,-0.05970862,-0.092584864,-0.046166814,-0.219226371
ZNF710,-0.278260521,0.783565816,0.573200501,0.827019292,1.014839181,-0.064438364,0.232579446
ZNF711,-3.397294849,-2.981573913,-2.769280176,-2.58776581,0.266253579,0.031160634,0.137923755
ZNF713,-0.843808304,-0.578980881,-0.622645692,-0.217667672,0.170087416,-0.006567845,0.330668926
ZNF714,-0.491049189,0.413040551,0.31579809,0.611597995,0.799101959,-0.020355698,0.259136688
ZNF717,-0.221417531,-0.036790637,-0.142643153,0.648286282,0.132807612,-0.022210753,0.716211291
ZNF718,0.077559779,0.524062456,0.85402907,0.360426286,0.300808229,0.053190047,-0.404927368
ZNF720,-0.386184529,-0.786693416,-0.505918058,-0.249357531,-0.314208541,0.075254599,0.225601108
ZNF721,-0.091135879,-0.615330705,-1.008686689,-0.292242562,-0.445068782,-0.131537001,0.666234402
ZNF724,0.868984706,1.544315673,1.287876998,1.978955081,0.414786272,-0.026873196,0.549457878
ZNF726,1.292890262,1.568690871,1.773625817,1.594530403,0.170086282,0.030593047,-0.130618802
ZNF727,0.52249597,-0.188868637,0.041816193,0.469954917,-0.273270492,0,0.228839231
ZNF730,1.899610865,3.09520696,3.723095474,4.563149339,0.53879874,0.030802337,0.397154658
ZNF736,-0.499859241,-0.625684915,-0.748094486,-0.345946853,-0.105982737,-0.048365845,0.379666674
ZNF737,-0.110920804,-1.012486571,-0.911720637,-0.920645971,-0.739153424,0.015672697,-0.014081732
ZNF738,1.764538503,1.539205352,1.779316058,1.721232171,-0.147965544,0.037538385,-0.036427986
ZNF74,2.027856038,1.692873165,1.760043401,1.212402143,-0.281389795,0.022338394,-0.508000429
ZNF740,0.216722879,-0.102152691,-0.410758345,-0.237477062,-0.282111229,-0.141764806,0.159536922
ZNF746,-0.784127987,-0.670061371,-0.945460312,-1.030425875,0.096118164,-0.11007119,-0.078570981
ZNF747,0.916725919,0.570291622,0.102908169,-0.808844144,-0.271729585,-0.139056725,-0.845090271
ZNF749,0.989015056,0.621675578,0.659526731,0.107745103,-0.316749846,0.013885063,-0.5205072
ZNF750,1.326290971,2.236974232,2.018627542,0.704757751,0,0,0
ZNF75A,-0.466990968,-1.16710952,-0.979513388,-1.897151037,-0.594265313,0.045870833,-0.843858618
ZNF75D,-0.874236114,-1.304817868,-1.002732358,-1.011195489,-0.342291998,0.082537243,-0.011021162
ZNF76,-0.874345746,-1.032071295,-1.062781559,-0.973740755,-0.143654297,-0.016627974,0.080932316
ZNF761,0.222316815,-0.047431671,-0.038879118,-0.006662347,-0.216542411,0.002482048,0.028103043
ZNF763,-0.555350336,-1.487859476,-1.364895784,-1.561229523,-0.501643934,0.006893998,-0.13502844
ZNF764,-0.208957159,-0.481586803,-0.736030438,-1.299087853,-0.237315906,-0.112530939,-0.539613303
ZNF765,0.13574294,-0.230366897,-0.265811299,-0.342026417,-0.316995624,-0.013064705,-0.06983616
ZNF766,-1.494618428,-1.923614447,-1.940476709,-1.516087451,-0.359423263,-0.005364967,0.389777487
