names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
DMRTC1,2.46E-09,7.17E-10,6.27E-10,1.55E-09,0.574668736,0.94975067,0.638341756
DMRTC1B,9.93E-11,3.76E-11,3.36E-11,1.99E-10,0.498602788,0.972422856,0.372033752
DMTF1,1.64E-23,1.62E-38,6.53E-44,3.85E-30,0.010870727,0.79701276,0.029737124
DMTN,8.33E-16,1.11E-14,1.24E-16,2.20E-10,0.834567095,0.900214176,0.097654998
DMWD,0.002769728,1.07E-05,0.000144297,4.32E-15,0.287328673,0.889096161,0.000217171
DMXL1,5.00E-24,2.69E-31,5.02E-19,0.00206353,0.232067187,0.182153888,4.84E-08
DMXL2,0.037841536,0.707202636,0.103027582,2.48E-05,0.026914868,0.66901422,0.021239143
DNA2,5.50E-21,3.15E-85,7.37E-80,1.98E-74,1.00E-25,0.862663113,0.599463322
DNAAF1,0.000824821,0.000797747,0.000208293,5.29E-08,0.98909839,0,0.012815037
DNAAF10,4.17E-24,4.24E-27,3.56E-33,1.43E-29,0.619197521,0.658274143,0.562292921
DNAAF11,0.00749505,0.970423837,0.678671946,0.517737774,0.018897975,0.911051364,0.858377274
DNAAF2,3.12E-08,1.32E-11,1.27E-09,0.711481767,0.357617017,0.860480992,6.19E-08
DNAAF3,0.781189972,0.088627688,0.309349833,0.299558287,0,0,0
DNAAF5,9.33E-81,7.27E-98,5.75E-101,4.43E-32,0.09547182,0.942311398,1.34E-21
DNAAF8,0.167210088,0.035766701,0.034751166,0.040959807,0.598515027,0,0.960118964
DNAAF9,1.09E-24,3.13E-23,7.41E-21,0.00017952,0.845121322,0.883552079,7.36E-08
DNAH1,7.25E-54,2.93E-93,1.01E-91,1.45E-46,2.07E-06,0.972422856,8.31E-09
DNAH10,0.000288659,5.24E-05,5.06E-05,1.96E-07,0.762616909,1,0.291331946
DNAH11,0.532802436,0.001042567,6.34E-05,8.05E-09,0.017849313,0.837598069,0.105880661
DNAH14,0.258879967,0.00086656,0.000369205,0.003879951,0.048596096,0.959439432,0.582663019
DNAH17,0.001022708,6.10E-08,1.24E-07,0.001467901,0.074596232,0.977126194,0.063744153
DNAH2,0.404226999,0.723924652,0.240303155,0.203743643,0.722537316,0,0.941190281
DNAH3,6.76E-05,0.014401774,0.013625746,0.410368948,0.184836259,0.997442827,0.150727157
DNAH6,1.40E-20,7.44E-24,3.59E-16,9.11E-06,0.402147425,0.271207474,0.000425454
DNAH7,0.051077803,0.084731231,0.097968463,0.195456175,0,0,0
DNAI2,0.00089887,0.00466928,0.004022576,0.385791056,0.634157214,0,0.06519959
DNAI3,0.370627532,0.554011499,0.457045253,0.001440275,0.19609213,0,0.017077672
DNAI4,0.003339305,0.007159874,0.135708023,0.015768974,0.867524531,0,0.453842049
DNAI7,0.370627532,0.030602407,0.099116855,0.250642422,0.297280159,0,0.694751065
DNAJA1,8.62E-06,0.042187035,0.069864416,7.01E-05,0.043965875,0.967291511,1.96E-08
DNAJA2,0.956767003,0.217968183,0.105448051,3.47E-08,0.345696409,0.936175707,0.00037193
DNAJA3,3.40E-16,4.63E-20,1.56E-21,1.67E-14,0.467953031,0.941280604,0.124218368
DNAJA4,0.001598614,0.235772165,1.04E-09,0.087006841,0.102421369,0.000492649,1.47E-14
DNAJB1,1.41E-38,7.33E-34,1.14E-30,3.47E-46,0.537117971,0.886296497,0.015139677
DNAJB11,6.61E-08,0.009235084,0.085387602,0.029422931,0.017574929,0.803557836,0.000173576
DNAJB12,0.001497123,0.029886536,0.936733494,1.06E-05,0.453994506,0.284440898,4.41E-05
DNAJB13,8.82E-45,4.48E-45,1.32E-44,1.95E-45,0.791628502,0.953477549,1
DNAJB14,1.90E-36,5.45E-48,1.53E-50,2.90E-28,0.118166428,0.936175707,0.000373489
DNAJB2,2.20E-13,5.62E-19,6.19E-11,0.000215008,0.228632979,0.293630723,0.013058346
DNAJB4,7.30E-08,5.34E-09,2.95E-06,0.171993741,0.761906009,0.722579399,0.002683786
DNAJB5,2.63E-08,1.02E-13,1.03E-16,8.58E-17,0.116630635,0.803099922,0.982758359
DNAJB6,0.003735981,5.83E-09,3.33E-07,7.59E-25,0.013915244,0.855423999,1.61E-06
DNAJB7,0.117475089,0.028960935,0.112121148,0.000218702,0.634157214,0,0.023341086
DNAJB9,5.15E-27,1.78E-42,9.99E-43,3.69E-17,0.012726932,0.995277,8.56E-07
