names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
A1BG,0.005142901,0.000568169,0.000104186,0.244577585,0.659532054,0.92814112,0.015527881
A1BG.AS1,0.830351895,0.199065461,0.176501141,0.293053756,0.397098069,0.98847726,0.827635718
A2M,6.18E-05,0.005904869,0.014758398,0.033673372,0.149739721,0,0.805857326
AAAS,3.23E-86,2.78E-78,1.81E-78,4.53E-53,0.471341707,0.996528687,0.001260669
AACS,0.004692907,0.002618869,4.10E-06,9.79E-11,1.55E-08,0.556898164,0.111469113
AAGAB,1.56E-46,2.46E-37,3.28E-37,8.02E-26,0.216011089,0.996445497,0.051595184
AAK1,9.78E-117,2.03E-87,7.54E-86,1.02E-18,0.006529323,0.972422856,4.69E-25
AAMDC,0.051292864,0.026659937,0.003822293,0.606857681,0.866039274,0.861994488,0.001015154
AAMP,6.54E-91,4.49E-85,1.03E-70,2.76E-31,0.629402779,0.479407194,6.00E-09
AANAT,0.979858904,0.698056307,0.369248977,0.159639018,0.789954321,0,0.68417842
AAR2,0.000353676,0.143833293,0.682651889,4.05E-05,0.080516642,0.398902108,0.000619229
AARS1,1.46E-88,1.97E-73,1.17E-85,7.21E-94,0.139111912,0.598268897,0.452832248
AARS2,5.34E-09,0.002713763,9.41E-05,0.766324127,0.015517074,0.800914723,0.000824777
AASDH,0.110768978,0.001568372,0.020133612,0.371458036,0.214908122,0.81674175,0.001888034
AASDHPPT,8.42E-15,5.96E-14,4.22E-13,0.051092013,0.871540133,0.95717929,7.10E-07
AASS,3.64E-11,1.66E-07,0.000564158,0.042569325,0.278916588,0.474562855,0.243341544
AATBC,0.559707832,0.152793728,0.081149504,0.165682833,0.07252888,0.946169969,0.793826789
AATF,6.09E-18,1.04E-06,9.68E-05,0.729231227,0.00103113,0.78718663,0.001063631
AATK,0.934445215,0.527260286,0.348914223,0.435835822,0.567686752,0,0.911234927
ABAT,0.000666456,3.70E-11,4.87E-05,1.31E-06,0.004618449,0.214129573,0.544711029
ABCA1,1.65E-15,0.016181807,1.06E-09,0.193538241,1.07E-07,0.025323336,8.30E-06
ABCA10,0.005284224,1.45E-05,3.55E-05,4.17E-05,0.151206354,0,0.956622635
ABCA11P,0.033901656,0.409710343,0.71712994,0.140181098,0.297926202,0.912387013,0.340622387
ABCA12,0.248288155,0.005298534,0.007657662,0.012058254,0,0,0
ABCA13,0.096415991,0.048333363,0.000941364,0.111297052,0.823041534,0,0.108835544
ABCA17P,0.211551501,0.070228665,0.807142499,0.838629713,0.006817159,0,0.978645029
ABCA2,5.47E-06,1.75E-07,1.67E-09,0.081074702,0.647440406,0.82915497,9.21E-05
ABCA3,5.45E-08,1.91E-05,0.027405482,0.897762137,0.382043816,0.376171446,0.062652085
ABCA5,8.47E-19,7.09E-34,7.69E-33,7.50E-12,0.003727841,0.968786871,1.79E-06
ABCA7,4.43E-153,1.36E-132,4.86E-104,3.48E-57,0.102158181,0.105372504,4.15E-08
ABCB1,0.023816723,0.355320774,0.20377962,0.016817816,0.291311537,0.940197934,0.363059857
ABCB10,9.13E-08,6.95E-80,3.70E-68,5.80E-56,1.85E-42,0.585937929,0.147776596
ABCB4,0.05085656,0.067472757,0.07935227,0.749940712,0,0,0
ABCB6,3.17E-14,2.81E-08,1.64E-11,7.16E-12,0.092436287,0.717082645,0.928458384
ABCB7,0.102301247,0.037306064,0.006228019,1.26E-18,0.772528588,0.872783453,1.09E-08
ABCB8,2.02E-05,6.55E-07,1.23E-09,0.003456955,0.624660973,0.750739345,0.004759427
ABCB9,0.003911343,0.706836971,0.581116317,0.02059361,0.028710175,0.972422856,0.006372999
ABCC1,0.554744164,0.71550263,0.698954398,0.015391124,0.873717766,0.996528687,0.008324562
ABCC10,1.88E-05,1.17E-07,0.000161607,3.81E-09,0.461661692,0.587692065,0.068355558
ABCC11,0.503259019,0.387715251,0.84399129,0.652087033,0.90078031,0,0.575524313
ABCC2,0.002164811,2.61E-09,3.07E-09,3.23E-11,0.010377347,0.995512719,0.568639527
ABCC3,0.070516647,0.047496082,0.070013489,0.045498699,0.925204227,0.974398971,0.896468064
ABCC4,1.04E-24,7.02E-29,1.39E-19,0.000290339,0.515908353,0.357395125,2.68E-07
ABCC5,0.349204662,0.315760425,0.710874084,0.00951851,0.972187944,0.593606765,0.045103851
ABCC6,0.003228854,0.005991267,0.001750914,0.023960078,0.886742268,0,0.420889897
ABCD1,0.025835883,0.013726746,0.067486386,0.345774273,0.88872704,0.874735596,0.485318538
ABCD2,1.82E-27,5.11E-20,8.82E-14,0.491402568,0.168533054,0.507272086,1.58E-10
ABCD3,5.82E-28,7.53E-34,6.20E-38,7.04E-16,0.378257594,0.840952983,6.61E-06
ABCD4,0.036979114,0.000456339,1.79E-05,1.53E-06,0.275479162,0.832396001,0.706044668
ABCE1,1.08E-55,8.94E-47,5.30E-40,2.16E-11,0.298115248,0.742469341,1.05E-09
ABCF1,1.84E-42,9.31E-28,3.09E-26,1.11E-08,0.020970219,0.94709745,7.78E-06
ABCF2,2.28E-81,4.27E-70,8.04E-64,6.36E-15,0.271339589,0.821592577,3.93E-18
ABCF3,0.287376631,0.029678639,0.002586448,4.42E-10,0.002741964,0.821592577,0.003822319
ABCG1,3.47E-12,0.035883363,3.69E-09,0.285427953,1.18E-05,0.022803576,7.95E-06
ABCG2,0.746136343,0.197898883,0.009411548,0.240926928,0.154379502,0.645531688,0.215534927
ABCG4,0.218143611,0.132288974,0.049565322,0.020829776,0,0,0
ABHD1,5.19E-05,2.44E-05,0.00015782,0.000240505,0.89181998,0.910379298,0.927407789
ABHD10,0.288358732,2.10E-05,5.19E-07,7.38E-11,0.005394923,0.837391753,0.215960093
ABHD11,1.28E-06,2.47E-10,1.70E-12,0.00460939,0.237661159,0.845616386,4.61E-23
ABHD12,0.059933515,0.374866924,0.375010419,0.013754881,0.444896746,1,0.177161646
ABHD13,1.44E-30,3.38E-46,1.08E-48,7.95E-74,0.018115945,0.936175707,0.001141543
ABHD14A,0.465253192,0.010798899,0.182961738,0.000107746,0.131782746,0.694684052,0.022173701
ABHD14B,1.15E-48,4.73E-10,1.04E-06,0.000139232,1.06E-15,0.659277797,0.405064289
ABHD15,0.401274316,0.061296603,0.037401426,0.327786929,0.440773598,0.969167065,0.371986707
ABHD16A,0.953511328,0.17805631,0.051172564,0.838661879,0.241059481,0.885818636,0.125456117
ABHD16B,0.000818861,0.062888776,0.003253465,0.037695939,0.233291974,0.748011172,0.497042324
ABHD17A,3.11E-06,3.63E-06,1.74E-06,8.08E-06,0.979197266,0.975929573,0.833789002
ABHD17B,0.002912646,0.006242375,0.000697986,0.329944646,0.872664389,0.872943134,0.033592366
ABHD17C,1.27E-21,1.22E-28,3.29E-34,3.85E-23,0.067338432,0.556214914,0.002798548
ABHD18,3.28E-05,0.133355817,0.144484531,0.000104568,0.022379816,0.994687521,1.52E-07
ABHD2,1.15E-33,1.25E-25,5.17E-25,8.24E-11,0.198895179,0.977126194,0.000525194
ABHD3,5.14E-06,0.006950607,0.743334651,0.042856763,0.132122813,0.259699903,0.135895545
ABHD4,0.001274855,0.237929891,0.564348488,6.21E-10,0.088272678,0.435801757,9.21E-08
ABHD5,0.905478139,0.257394868,0.144740395,0.535794982,0.293172948,0.944486618,0.049961211
ABHD6,2.00E-12,5.53E-13,2.01E-16,1.18E-08,0.903172284,0.746660711,0.014617921
ABHD8,0.093934053,1.97E-05,0.01792452,0.003427037,0.026456716,0.42866725,1.84E-07
ABI1,4.84E-20,5.18E-26,1.36E-31,1.37E-16,0.29816717,0.734826956,0.002270513
ABI2,8.02E-49,2.35E-12,3.64E-08,0.529680228,2.97E-13,0.595610802,4.88E-06
ABI3,6.82E-38,2.68E-50,4.53E-50,2.00E-45,0.082726535,0.995331219,0.576641573
ABI3BP,0.908100685,0.756523385,0.628484853,0.109029627,0.738777092,0,0.326434795
ABITRAM,7.31E-17,3.92E-11,1.71E-07,0.023163283,0.15837479,0.633436763,0.00737182
ABL1,2.77E-05,0.394507892,0.674851756,5.70E-07,1.65E-06,0.635323105,1.68E-05
ABL2,4.95E-27,1.83E-30,3.50E-37,3.14E-14,0.624421559,0.687233353,1.85E-06
ABLIM1,2.58E-39,2.07E-42,1.26E-44,4.17E-17,0.73343909,0.939889685,2.39E-07
ABLIM2,0.000298052,3.89E-05,0.00264996,0.000555662,0.706495089,0.706082205,0.733934308
ABLIM3,0.104988587,0.143574841,0.141678694,0.143822252,0.915978466,0.99954731,1
ABR,0.002338135,0.340700004,0.613226598,0.070734153,0.080906987,0.920520611,0.272232808
ABRACL,1.80E-47,1.13E-45,3.67E-46,2.55E-23,0.85016432,0.986558529,7.99E-05
ABRAXAS1,1.43E-19,1.18E-15,6.13E-15,0.000872784,0.445742226,0.969984478,4.09E-05
ABRAXAS2,7.04E-07,7.71E-06,0.001861826,8.16E-05,0.741493887,0.64938142,0.520361236
ABT1,0.000458826,2.03E-08,5.98E-11,6.25E-36,0.089362929,0.79468511,2.26E-08
ABTB1,7.75E-69,1.34E-113,1.56E-102,3.12E-57,2.80E-07,0.658274143,3.28E-08
ABTB2,3.99E-06,0.000603792,0.059869926,0.643110271,0.36295508,0.566807682,0.027286139
ACAA1,0.901205659,0.764609108,0.339925672,0.049254983,0.90680793,0.86036559,0.413074177
ACAA2,3.32E-11,1.92E-34,1.80E-39,3.54E-54,1.92E-07,0.797942014,0.035730832
ACACA,1.18E-21,1.23E-45,7.65E-48,2.58E-14,3.27E-05,0.942208166,6.70E-11
ACACB,1.34E-87,2.93E-39,2.02E-30,2.36E-16,9.56E-12,0.525386522,0.003361093
ACAD10,2.62E-31,4.59E-29,1.02E-15,2.50E-14,0.7805285,0.076548299,0.767694434
ACAD11,0.000595673,2.46E-07,1.37E-05,0.997316098,0.141683303,0.805118046,2.87E-05
ACAD8,0.000143363,0.077185207,0.49855311,0.021574638,0.090148964,0.734618751,0.004147061
ACAD9,6.43E-30,3.40E-36,6.33E-40,1.03E-13,0.357305839,0.86605289,2.91E-08
ACADM,5.16E-24,5.10E-40,3.89E-42,6.00E-34,0.006796437,0.939889685,0.237541673
ACADS,1.39E-06,5.68E-06,3.18E-05,5.26E-16,0.850040754,0.936935556,0.000255951
ACADSB,0.889527668,0.484968251,0.060566027,7.20E-07,0.683578136,0.177848666,0.005643523
ACADVL,0.003439284,0.699134712,0.593188236,2.63E-08,0.002446528,0.974398971,2.49E-06
ACAN,0.022472219,0.571662628,0.211461531,0.029046887,0.009116119,0.850869992,0.428634873
ACAP1,3.50E-65,6.70E-33,2.36E-32,1.57E-05,3.86E-06,0.980862884,1.68E-12
ACAP2,1.70E-08,7.20E-09,3.00E-07,0.441354836,0.933006515,0.871668371,5.97E-05
ACAP3,8.39E-10,0.000273318,0.000660497,0.244291841,0.037473587,0.964233331,0.051886402
ACAT1,1.29E-49,2.32E-90,2.23E-97,1.06E-106,2.37E-07,0.823450891,0.399291558
ACAT2,1.58E-28,2.91E-48,3.59E-45,2.49E-39,0.001844502,0.911738383,0.445299373
ACBD3,7.89E-15,1.43E-19,1.29E-29,2.72E-12,0.337571211,0.327162002,8.50E-05
ACBD4,1.60E-06,2.63E-06,0.00076756,0.490322265,0.94837454,0.658274143,0.016592932
ACBD5,2.91E-11,1.26E-12,1.28E-11,0.000369239,0.772078687,0.946169969,0.004243907
ACBD6,0.537123799,0.000107156,4.51E-05,7.95E-09,0.004117068,0.970296377,0.143921214
ACBD6.1,0.026820996,0.35119562,0.002396331,0.903105231,0.003463744,0.358220541,0.007111285
ACBD7,0.697199231,5.70E-05,0.052400285,1.84E-05,0.000851755,0.352016589,0.033285466
ACCS,2.12E-16,3.93E-11,1.20E-09,0.00031091,0.188453954,0.905059592,0.030371265
ACD,1.87E-33,2.63E-31,6.98E-35,4.62E-25,0.779795249,0.861871754,0.088250745
ACE,1.58E-05,0.000128174,1.63E-06,1.88E-05,0.644618633,0,0.146838927
ACER1,1.69E-12,2.04E-12,3.36E-10,8.66E-13,0.879075508,0.536371557,0.141139773
ACER2,2.06E-05,0.176613183,0.406761553,0.029934421,0.010070633,0.28399977,0.252704101
ACER3,2.38E-05,0.36898662,0.191809201,0.896038025,0.003085435,0.930536704,0.310672258
ACIN1,0.007009404,1.29E-05,7.04E-08,1.85E-08,0.198218045,0.776380488,0.86365823
ACKR2,0.682363501,0.005631261,2.79E-06,1.48E-09,0.026764282,0.305475619,0.145570051
ACKR3,0.479754275,0.096701209,0.000474471,2.57E-05,0.028016927,0.42591597,0.560516772
ACKR4,3.52E-07,0.002695005,6.33E-06,0.046971903,0.038793397,0.505758575,0.014356485
ACLY,4.73E-82,5.55E-139,1.09E-124,1.56E-77,4.68E-08,0.656529448,2.16E-06
ACO1,5.94E-14,2.56E-45,1.74E-45,1.83E-53,7.83E-11,0.996445497,0.280318912
ACO2,1.68E-17,1.89E-19,3.47E-25,2.40E-17,0.744231437,0.658274143,0.114374767
ACOT1,0.000665758,0.008822074,4.82E-06,5.05E-16,0.568647926,0.41350322,0.000913744
ACOT11,0.132403113,5.09E-06,9.41E-06,6.66E-07,0.001446977,0.974398971,0.594611012
ACOT13,3.46E-26,1.80E-23,8.68E-26,2.10E-30,0.666949669,0.906626636,0.42958777
ACOT2,0.24244022,0.389921571,0.03670266,1.66E-10,0.070125817,0.694340615,7.49E-05
ACOT4,7.48E-14,6.67E-05,4.06E-08,1.07E-06,0.000837426,0.553355093,0.630250289
ACOT7,2.33E-209,1.32E-277,3.12E-295,4.82E-238,3.06E-09,0.593190964,1.93E-06
ACOT8,0.644777355,0.246493807,0.174950011,3.37E-07,0.15239366,0.183427596,0.000494743
ACOT9,4.85E-11,1.03E-25,9.59E-25,1.58E-36,0.000429392,0.9676907,0.034048419
ACOX1,2.03E-07,2.34E-06,1.12E-07,4.29E-06,0.749945416,0.892880526,0.60088777
ACOX3,2.11E-05,3.58E-11,6.64E-10,1.24E-14,0.046075007,0.923029864,0.192725235
ACOXL,0.135756005,0.353775215,0.641467795,0.965198696,0.675808298,0.91282577,0.73159808
ACP1,4.89E-09,2.95E-05,0.025417529,0.041875311,0.187481443,0.42363052,3.54E-05
ACP2,1.88E-30,5.69E-09,8.20E-11,0.00668503,5.08E-08,0.862663113,0.000350286
ACP4,0.112282483,0.047733547,0.000474468,5.95E-05,0.797139803,0.562614386,0.68865338
ACP5,7.42E-08,1.83E-07,9.59E-06,0.000649401,0.919233302,0.82915497,1.86E-14
ACP6,0.268036446,0.834832413,0.201620809,8.84E-06,0.476317091,0.734028426,0.003748208
ACRBP,2.53E-11,3.86E-12,3.63E-13,9.67E-06,0.83140796,0.936935556,0.006475324
ACRV1,6.25E-05,4.16E-06,3.43E-06,0.000175259,0.45706397,0,0.216926108
ACSBG1,0.555630059,0.024959289,0.286970441,0.72457939,0.164834716,0,0.567674784
ACSBG2,0.422170447,0.499496662,0.738686907,0.241698618,0.189499922,0,0.474148634
ACSF2,2.02E-09,0.122921421,0.518244827,1.69E-09,4.55E-05,0.794327936,6.83E-11
ACSF3,7.00E-05,0.000999848,0.180014516,0.535679094,0.628741934,0.41350322,0.067637254
ACSL1,5.10E-08,4.18E-24,1.86E-18,7.37E-13,1.97E-05,0.642607062,0.185024231
ACSL3,0.412668359,2.42E-06,0.020783227,0.722021061,1.32E-07,0.276178201,0.012532867
ACSL4,1.30E-29,1.74E-39,6.84E-39,4.16E-34,0.142213816,0.980862884,0.517103506
ACSL5,2.68E-26,1.20E-27,1.09E-28,1.57E-13,0.860078927,0.968786871,0.000677276
ACSL6,2.64E-14,4.64E-14,2.63E-08,2.89E-25,0.961123794,0.41350322,6.93E-06
ACSM1,0.000361212,0.000181856,0.001777169,0.070878894,0.816113797,0,0.226933778
ACSM3,2.36E-11,0.071594438,0.874485691,5.68E-06,8.03E-06,0.506706145,6.88E-06
ACSS1,6.39E-06,4.20E-05,0.022949643,0.121593217,0.782831767,0.467719881,0.587571737
ACSS2,0.006646478,0.52371603,0.736366123,0.000677636,0.081410407,0.94709745,0.00038544
ACTA2,0.79999464,0.242257224,0.041843397,0.00013029,0.220745239,0.051177886,0.120442937
ACTB,8.26E-54,6.40E-66,1.26E-71,2.01E-81,0.189118022,0.84644812,0.324415654
ACTG1,3.20E-21,5.51E-30,2.18E-29,6.29E-37,0.13076991,0.978726085,0.237960882
ACTG1P17,3.57E-05,9.57E-05,0.000622852,0.762915584,0.877117348,0.905970294,0.003688243
ACTG2,0.279987409,0.456642357,0.286680225,0.015461865,0,0,0
ACTL10,2.96E-22,3.90E-16,6.57E-17,0.016971268,0.08972549,0.955185076,1.38E-11
ACTL6A,3.17E-120,1.51E-130,1.22E-131,4.07E-76,0.441548631,0.980816331,3.51E-09
ACTN1,0.491252212,0.441322987,0.186543185,0.173518863,0.965089264,0.89672291,0.976721839
ACTN1.DT,0.000109425,0.000527259,0.000311652,0.000207967,0.678967684,0,0.909089013
ACTN2,0.084104173,0.140147174,0.213064568,0.13462231,0,0,0
ACTN3,0.03028538,0.412269975,0.193036946,0.590734378,0,0,0
ACTN4,1.50E-71,4.13E-96,1.87E-105,7.13E-84,0.012430764,0.776932702,0.036067062
ACTR10,0.160611669,0.658363047,0.656901249,0.753057883,0.102407673,1,0.510834971
ACTR1A,1.69E-22,2.33E-20,1.87E-19,3.83E-11,0.728597054,0.965514393,0.036615375
ACTR1B,0.046447802,0.000309596,0.119406668,0.278602988,7.71E-08,0.383082125,0.012379841
ACTR2,3.63E-33,1.95E-26,3.09E-23,4.98E-36,0.300269009,0.85878158,0.022550973
ACTR3,5.33E-41,4.64E-36,2.79E-34,4.51E-38,0.530107315,0.946169969,0.598707044
ACTR3B,5.96E-20,7.96E-17,4.70E-11,0.006205382,0.544770303,0.469135795,0.000303874
ACTR3C,0.511362137,0.123402719,0.053894845,3.00E-06,0.046807129,0.936175707,0.012721931
ACTR5,0.084520844,2.78E-08,1.10E-08,8.63E-15,0.000713866,0.974731806,0.079584326
ACTR6,0.126790229,0.480276892,0.842180229,2.29E-05,0.041667358,0.902711608,1.78E-05
ACTR8,6.13E-15,7.37E-11,3.23E-08,1.06E-05,0.323665231,0.783860569,0.371104158
ACTRT3,1.22E-06,5.37E-07,7.51E-07,0.012248793,0.871968102,0.980055209,0.000793493
ACVR1,0.000555191,0.011361706,0.001898022,0.904648418,0.497194303,0.895687684,0.006115216
ACVR1B,0.388240389,0.043139992,0.030728868,9.08E-07,0.007706704,0.977126194,0.014008484
ACVR1C,4.14E-18,1.18E-20,9.19E-17,0.000986764,0.618315798,0.755167826,2.62E-06
ACVR2A,0.203985788,1.64E-09,1.03E-09,1.26E-06,1.38E-05,0.987219778,0.290933955
ACVR2B,5.97E-10,2.29E-07,2.74E-05,0.664389628,0.455977239,0.786966255,0.000496174
ACVR2B.AS1,0.000883839,0.001486804,0.009675795,0.002543917,0.917242017,0,0.739958526
ACY1,7.87E-14,2.78E-11,4.13E-13,5.82E-06,0.490453203,0.863146848,0.005287734
ACY3,0.533641708,0.529743866,0.680359768,0.80377549,0.999150542,0,0.903675372
ACYP1,0.513974917,7.19E-05,3.22E-13,5.65E-18,0.002941934,0.055777911,0.252127072
ACYP2,0.039469643,2.32E-05,0.003547153,0.000437439,0.071383543,0.658274143,0.654618681
ADA,7.07E-10,0.976601901,0.257722121,1.63E-10,4.65E-09,0.719445552,8.33E-07
ADA2,2.25E-74,1.23E-46,2.86E-39,9.36E-38,0.000156875,0.683403559,0.852700087
ADAD2,0.575410678,0.871108236,0.33422165,0.868576205,0.550030682,0.691951457,0.498327452
ADAL,3.20E-07,3.33E-13,9.40E-15,4.70E-10,0.064310291,0.918281678,0.191151445
ADAM10,1.20E-08,9.32E-06,0.020148371,7.86E-10,0.337571211,0.367729597,6.52E-17
ADAM11,0.058976365,0.025220591,0.112122472,0.298574897,0.814035763,0,0.674097389
ADAM12,0.994760222,0.481431827,0.972240965,0.967976507,0.58329831,0,0.953390865
ADAM15,1.38E-12,1.03E-30,8.88E-25,3.22E-35,5.56E-05,0.690490929,0.063883013
ADAM17,0.503294332,0.002803634,0.001969165,0.000553257,0.000675841,0.981169016,0.79668728
ADAM19,0.013238482,0.000153269,0.049141394,9.07E-08,0.325722362,0.465727352,0.002162325
ADAM21,0.577379427,0.209559157,0.010674034,0.218644208,0.110235649,0,0.189146098
ADAM22,2.20E-05,0.000869136,0.031136659,0.643875601,0.498129056,0.714666661,0.140840292
ADAM23,1.46E-05,1.05E-05,0.000718953,0.001549665,0.934821419,0,0.856293327
ADAM8,0.808011926,0.00946931,0.236794782,1.34E-07,0.01071123,0.62374953,0.000166016
ADAM9,1.09E-09,8.63E-35,3.34E-32,3.56E-27,1.15E-10,0.899941094,0.368441254
ADAMTS1,0.956028684,0.490546245,0.47844142,0.233317265,0.625609572,0,0.079179381
ADAMTS10,7.85E-61,1.03E-56,8.96E-60,8.12E-39,0.651656641,0.906626636,0.00065115
ADAMTS13,1.56E-09,9.50E-08,2.92E-05,0.095879795,0.608218788,0.714666661,0.026331987
ADAMTS14,0.794763521,0.726947296,0.869360847,0.021564732,0.953182078,0,0.042452571
ADAMTS17,1.39E-14,1.60E-23,1.29E-16,1.09E-27,0.020916074,0.374032898,0.003185918
ADAMTS4,0.261317483,0.005190389,0.112124419,1.31E-05,0.172449918,0.695841456,0.01101319
ADAMTS6,8.95E-10,1.48E-08,1.69E-06,0.001633203,0.73493141,0.791526469,0.161872757
ADAMTS7,0.947508203,0.515727918,0.288576825,1.87E-09,0.643246855,0.922259963,6.62E-08
ADAMTSL2,3.00E-10,5.38E-10,5.00E-10,0.001194825,0.95307664,0.99876271,0.001177602
ADAMTSL4,0.108467337,0.000378197,1.09E-05,0.00124458,0.107770748,0.802312898,0.312930838
ADAMTSL5,1.41E-05,1.81E-08,3.41E-06,1.40E-06,0.31785704,0.776979194,0.899730448
ADAP1,2.13E-21,7.76E-15,6.40E-19,1.73E-09,0.165622065,0.742082721,0.011131923
ADAR,9.60E-08,5.46E-05,0.000115364,0.000163301,0.325111315,0.972975119,0.963165983
ADARB1,0.435148118,0.763997088,0.081946764,0.198119466,0.725691764,0.346296926,0.748914519
ADARB2,0.321573481,0.059904725,0.009728031,0.050744363,0.509882263,0.848799689,0.62958216
ADAT1,0.430556529,0.000148977,5.29E-09,0.393718048,0.008751929,0.384233381,2.71E-06
ADAT2,0.020460761,0.026327078,0.048818227,7.30E-05,0.945408036,0.958026009,0.085326606
ADAT3,1.80E-06,1.47E-10,1.19E-07,0.000394971,0.172587715,0.721358795,0.121079184
ADCK1,4.62E-07,0.272068844,0.223444674,1.26E-14,2.02E-09,0.237249136,1.20E-18
ADCK2,0.489329869,0.001836823,0.000100244,5.67E-06,0.000323677,0.833287521,0.62472832
ADCK5,0.535655216,0.81408945,0.586169157,0.105016334,0.778479184,0.943770904,0.041027697
ADCY1,0.66894193,0.824839912,0.157853367,0.002894875,0.593575417,0,0.141385089
ADCY10P1,8.92E-12,2.95E-22,5.92E-21,2.85E-20,0.004370621,0.93096298,0.847883383
ADCY3,0.013743486,3.24E-21,7.53E-15,0.084660827,6.15E-11,0.528250219,1.36E-08
ADCY4,3.13E-10,2.43E-09,7.55E-11,4.84E-06,0.734738226,0.607013348,0.005648898
ADCY5,0.680535798,0.466286752,0.795831255,0.348801784,0.325455445,0,0.575303061
ADCY6,0.890707099,0.223937364,0.462596563,0.6098562,0,0,0
ADCY7,2.47E-22,5.67E-14,1.78E-10,1.94E-12,0.072375406,0.739503131,0.621744734
ADCY9,0.006583857,0.000762756,0.073352363,0.002707113,0.661853146,0.562118956,3.36E-06
ADD1,8.84E-10,1.84E-18,4.43E-24,7.27E-23,0.028151812,0.658274143,0.855271281
ADD2,0.008190872,0.000120072,3.40E-06,5.44E-16,0.373185806,0.82937969,0.001749274
ADD3,2.49E-84,2.47E-73,2.39E-59,1.44E-24,0.303433307,0.454937298,2.47E-08
ADD3.AS1,0.279310193,0.233525561,0.259275025,0.324695399,0,0,0
ADGRA2,0.220115842,0.918770197,0.312808143,6.15E-06,0.342939908,0.778936397,0.000497564
ADGRA3,5.60E-28,6.06E-26,6.63E-25,7.64E-11,0.766828228,0.964419284,0.000458758
ADGRB1,2.01E-14,1.93E-14,8.29E-14,2.30E-06,0.973988912,0.964419284,0.009149057
ADGRB2,0.003823972,0.503324641,0.215680277,0.104044602,0.038534433,0,0.00650698
ADGRE1,2.19E-07,3.35E-07,2.26E-05,0.008727667,0.958697749,0.80916136,0.180860567
ADGRE2,0.857576303,0.493512899,0.014598845,0.050635788,0.482334228,0.474562855,0.725183896
ADGRE4P,2.49E-24,3.20E-32,1.19E-31,5.27E-17,0.072610128,0.972422856,0.000316156
ADGRE5,0.060352184,0.007225818,3.47E-05,0.002088509,0.57321252,0.616620351,0.412119227
ADGRF3,0.598528936,0.053042394,0.051596676,0.029725805,0.025061528,0.99851619,0.869727125
ADGRG1,0.108960574,0.094143652,0.414597635,0.207133341,0.971779671,0.803674564,0.051894749
ADGRG3,0.350097125,0.08190075,0.047002989,0.708754894,0.543828585,0,0.156891924
ADGRG5,0.535931665,0.009942712,0.010836196,6.19E-07,0.002934484,0.995792107,0.027932401
ADGRG6,0.01650139,0.000403584,7.24E-10,1.52E-10,0.337522625,0.107764887,0.83475158
ADGRL1,7.98E-05,8.84E-06,4.67E-13,3.19E-06,0.750719648,0.173260404,0.025713652
ADGRL1.AS1,0.008629859,1.54E-05,5.74E-09,1.60E-07,0.172886987,0.579899014,0.645613185
ADH5,1.42E-11,1.15E-07,5.88E-09,3.32E-10,0.262118626,0.910379298,0.736472975
ADH6,0.030439002,0.000634711,0.025378415,0.00055785,0.248165009,0,0.241047579
ADHFE1,1.36E-21,7.77E-24,1.30E-23,2.12E-10,0.121680944,0.886578616,3.33E-06
ADI1,0.105761663,0.123050917,0.459212539,1.65E-06,0.003314723,0.82293488,7.84E-08
ADIPOR1,0.000338483,0.025620183,0.346165445,0.09159349,0.29647538,0.668279113,0.562529095
ADIPOR2,7.26E-58,3.75E-87,4.70E-71,8.42E-38,0.000758147,0.401115364,2.87E-06
ADIRF,2.89E-09,9.40E-08,3.03E-08,1.78E-05,0.120399673,0.948548762,0.161231232
ADK,1.05E-19,1.26E-22,3.35E-19,8.96E-18,0.625741116,0.821871959,0.803186094
ADM,0.854093929,0.158418426,0.419450384,0.002784915,0.327004104,0.290613037,0.049046143
ADM2,2.84E-28,4.21E-13,3.49E-14,1.05E-24,6.99E-05,0.936935556,0.004723191
ADM5,0.069172785,0.822082708,0.145248705,6.63E-09,0.182014746,0.469135795,4.56E-05
ADNP,0.026959834,0.000123778,0.072018173,1.15E-05,0.205733031,0.385061578,0.021901301
ADNP.AS1,0.000412193,0.001376814,0.00024904,0.019459697,0.826524074,0.920707912,0.272679771
ADNP2,4.92E-49,4.03E-36,2.50E-54,7.01E-52,0.076829279,0.123701243,0.807241809
ADO,2.60E-13,2.49E-07,3.83E-06,0.000135039,0.077969648,0.905127802,0.550148982
ADORA2A,0.133102229,0.787396156,0.320243682,0.854170559,0.306949603,0.830592739,0.28199164
ADORA2A.AS1,0.002916942,1.46E-05,0.000956498,0.010966685,0.264193237,0.742151864,0.549466982
ADORA2B,0.069715192,0.000871898,0.000206739,6.79E-06,0.21805289,0.936175707,0.518161431
ADPGK,6.39E-06,1.48E-09,2.04E-09,1.98E-15,0.241343651,0.992561273,0.098480185
ADPGK.AS1,2.73E-05,8.45E-07,7.31E-09,6.04E-07,0.526823478,0.700896009,0.327171201
ADPRH,2.53E-10,8.79E-18,2.08E-24,2.17E-31,0.012744585,0.361204763,0.087517293
ADPRHL1,0.775471705,0.73700063,0.474661001,0.288063734,0.613140993,0,0.793392705
ADPRM,6.33E-116,3.50E-110,7.12E-114,2.21E-77,0.703439888,0.933555733,3.08E-05
